video;frame;timestamp;lol_x;lol_y;confidence;class
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;2270,102477;2476,694264;0,615401387;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;10708,89099;13216,3304;0,598632514;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;13149,7038;11377,02067;0,572782457;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;2639,319675;3182,582756;0,571954608;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;13275,06355;11613,19783;0,561724007;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;2036,721976;1913,594324;0,469250441;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;7696,244064;3451,990895;0,449842244;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;13161,48143;10583,89505;0,41107434;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;2789,35502;3339,14461;0,405902207;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;13359,94887;7645,517363;0,29112184;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;6626,606162;871,0602884;0,29009679;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;10211,92745;13087,97004;0,289182037;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;11947,96767;11571,87141;0,275861353;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0113.png;130;-939,5942196;4623,759371;0,275377721;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;1207,618033;4871,47145;0,768733561;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;1264,318917;4502,614746;0,760355115;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;4872,950096;1200,619543;0,754011095;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;12313,99686;1748,309972;0,747967184;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;2295,234386;2496,96027;0,743875921;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;13340,98557;9732,149371;0,743866265;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;1314,107446;3924,461921;0,738004744;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;3121,809781;3518,128806;0,724741518;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;12071,85051;1867,62645;0,716884792;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;12430,16916;2265,55104;0,715762734;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;2433,410016;2718,138751;0,69237107;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;2917,55944;1335,103832;0,691273212;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;13222,755;10098,54288;0,684798956;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;4482,626602;1255,892837;0,684157372;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;2548,517294;2935,028256;0,676690817;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;13255,26235;11574,51263;0,667102993;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;1389,924916;3626,203901;0,665649593;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;11970,19195;11675,06572;0,660061955;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;2663,003799;3187,742561;0,638079584;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;1309,494305;3019,091007;0,629482925;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;12122,47737;11960,24888;0,628073871;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;9664,635951;13327,1563;0,625998139;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;12180,57;2074,227151;0,625152528;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;11609,05363;13237,03256;0,62325871;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;11946,712;11423,26312;0,621891022;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;13208,55665;10337,81325;0,581647933;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;1348,929451;4252,875474;0,577353179;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;1452,027265;3343,709645;0,544922709;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;2891,56551;3392,667954;0,536242366;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;13107,70304;11302,6872;0,464146703;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;11486,63593;11050,07716;0,460797429;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;11263,43288;10885,76701;0,433067352;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;12590,89711;2015,61746;0,407298595;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;13178,46297;10678,21609;0,396775484;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;13120,50686;10993,1019;0,384432852;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;3840,926356;1346,712503;0,380109757;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;12063,7222;11759,19245;0,369778931;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;2515,023774;2890,561523;0,324128747;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;12116,11077;11870,72479;0,3185983;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;13360,2113;7645,514993;0,307919174;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;6627,248118;871,8955724;0,30007717;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;13286,10214;11523,5446;0,28374505;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;13152,52464;11321,66592;0,276967257;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0114.png;131;-939,5851176;4623,679989;0,273924381;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;1210,063321;4839,70459;0,781698108;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;2427,63241;2754,132978;0,779130936;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;3094,673157;3509,375503;0,762276709;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;5204,684349;1160,788933;0,758191645;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;4819,073436;1206,74259;0,756465137;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;12314,8983;1745,812414;0,75586158;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;1260,753295;4539,991635;0,752981067;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;1172,542422;5211,84082;0,752332628;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;1327,886851;3923,889663;0,751812398;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;13344,7514;9766,617575;0,741615593;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;4523,978938;1255,661801;0,734491706;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;12426,73284;2266,385139;0,717407942;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;12071,77284;1869,55649;0,714527071;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;9936,565304;13167,07796;0,707862794;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;13406,66751;9402,759543;0,706998587;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;2578,525069;3034,773021;0,704435706;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;9310,020756;13366,86191;0,68584615;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;12137,17588;11906,90681;0,684892118;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;11671,78528;13302,38095;0,665577769;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;13193,97465;10290,90583;0,664971113;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;11975,75714;11683,43159;0,644743383;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;13186,75956;10691,29184;0,632902861;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;11950,08477;11416,27931;0,61983788;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;13256,19557;10049,37841;0,615644336;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;12180,82419;2074,566004;0,613220394;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;9807,649201;13346,00914;0,587565839;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;10816,76905;13236,811;0,583370149;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;1379,098451;3631,482185;0,574058473;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;11468,48934;11023,52342;0,538107932;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;1335,736692;4255,621841;0,524129272;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;1459,656011;3402,436631;0,504913688;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;2655,82048;3217,363748;0,493144959;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;10236,66777;13087,97419;0,411149144;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;2825,744699;3321,92828;0,388795972;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;13347,76053;10026,17647;0,370027065;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;2712,989887;3220,61247;0,357820004;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;13068,83732;11221,36756;0,357515454;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;13130,46983;10973,18896;0,342423022;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;11324,36635;10925,28275;0,322041005;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;1405,466317;3666,679041;0,298903584;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;2851,888674;3348,188189;0,282080323;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;13360,34311;7645,188581;0,277849793;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;-939,5832236;4623,703685;0,273781836;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0115.png;132;6626,306073;870,4915843;0,258730024;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0116.png;133;1243,319418;4650,458841;0,782198131;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0116.png;133;5589,399111;1124,984274;0,776814878;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0116.png;133;5208,294837;1158,760555;0,776203096;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0116.png;133;4605,982223;1245,189353;0,755139887;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0116.png;133;13495,12684;9020,20655;0,752765059;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0116.png;133;1173,925776;5224,28833;0,749208987;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0116.png;133;1203,884566;4926,141681;0,746671021;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0116.png;133;4910,2118;1203,47965;0,743440926;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0116.png;133;12071,3327;1867,306554;0,726331651;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0116.png;133;3738,780003;4020,543285;0,724003017;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0116.png;133;13416,98118;9390,021757;0,720027804;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0116.png;133;9623,256549;13333,19197;0,71674484;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0116.png;133;13243,31408;9898,947305;0,712636352;Red Side
14-15_replay_riot_2724423_1_01.webm;frame_0116.png;133;1316,42652;3949,552433;0,711777031;Blue Side
14-15_replay_riot_2724423_1_01.webm;frame_0116.png;133;3088,21476;3500,060604;0,707820356;Blue Side
